ITEM_ID,HOLDINGS_ID,FAST_ADD,STAFF_ONLY,BARCODE,URI,ITEM_TYPE_ID,TEMP_ITEM_TYPE_ID,ITEM_STATUS_ID,ITEM_STATUS_DATE_UPDATED,LOCATION_ID,LOCATION,LOCATION_LEVEL,CALL_NUMBER_TYPE_ID,CALL_NUMBER_PREFIX,CALL_NUMBER,SHELVING_ORDER,ENUMERATION,CHRONOLOGY,COPY_NUMBER,NUM_PIECES,PURCHASE_ORDER_LINE_ITEM_ID,VENDOR_LINE_ITEM_ID,FUND,PRICE,CLAIMS_RETURNED,CLAIMS_RETURNED_DATE_CREATED,CLAIMS_RETURNED_NOTE,CURRENT_BORROWER,PROXY_BORROWER,DUE_DATE_TIME,CHECK_OUT_DATE_TIME,CHECK_IN_NOTE,ITEM_DAMAGED_STATUS,ITEM_DAMAGED_NOTE,MISSING_PIECES,MISSING_PIECES_EFFECTIVE_DATE,MISSING_PIECES_COUNT,MISSING_PIECES_NOTE,BARCODE_ARSL,HIGH_DENSITY_STORAGE_ID,NUM_OF_RENEW,CREATED_BY,DATE_CREATED,UPDATED_BY,DATE_UPDATED,UNIQUE_ID_PREFIX
434911,344541,N,NULL,39346004531176,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434912,344542,N,NULL,39346004706562,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434913,344543,N,NULL,39346004680189,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434914,344544,N,NULL,39346004505501,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434915,344545,N,NULL,39346004546182,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434916,344546,N,NULL,39346004593101,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434917,344547,N,NULL,39346004705895,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434918,344548,N,NULL,39346005855848,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,1,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434919,344549,N,NULL,39346004705655,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,1,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
434920,344550,N,NULL,39346004652519,NULL,16,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"OLE Demo Site","2014-11-09 19:36:53",NULL,NULL,wio
